热门查询,点击次数,展示,点击率,排名
水調歌頭,0,24,0%,79.54
月夜唐詩,0,23,0%,6.78
東飛伯勞歌,0,23,0%,6.87
惆悵東欄一株雪 人生看得幾清明,0,23,0%,7.04
指南錄後序,0,23,0%,8.17
玉樓春李煜,0,23,0%,8.57
白居易 夜雪,0,23,0%,8.87
畫眉鳥 詩,0,23,0%,9
留別王維,0,23,0%,9.48
明月何皎皎,0,23,0%,12.57
世說新語 德行,0,23,0%,13.26
姬昌,0,23,0%,14.65
唐雎不辱使命,0,23,0%,17.13
周邦彥玉樓春,0,22,0%,6.36
杜牧 遣懷,0,22,0%,8.23
遊沙湖 語譯,0,22,0%,8.23
永懷古蹟其五,0,22,0%,8.32
天孫一夜停機暇,0,22,0%,8.68
山下蘭芽短浸溪,0,22,0%,8.91
春雨 李商隐,0,22,0%,8.91
晚妝初過,0,22,0%,9.64
楚辭 國殤,0,22,0%,9.68
西塞山前白鷺飛,0,22,0%,11.86
李璟,0,22,0%,13.73
月夜 杜甫,0,22,0%,15.5
漁歌子,0,22,0%,23.45
周秉倫,0,22,0%,34.14
破陣子,0,22,0%,38.55
將 進 酒,0,22,0%,41.41
世 說 新語,0,22,0%,92.27
好花不與殢香人,0,21,0%,5.14
別舍弟宗一,0,21,0%,6.1
俏冤家 在天涯,0,21,0%,8.05
朱熹 春日,0,21,0%,8.33
金陵酒肆留別,0,21,0%,8.43
二龍爭戰決雌雄,0,21,0%,10
包融,0,21,0%,10.86
洞庭湖 詩,0,21,0%,11.19
大林寺桃花,0,21,0%,13.1
定風波 蘇軾,0,21,0%,51.38
飲馬長城窟行,0,21,0%,61.52
蘇軾定風波,0,21,0%,65.38
潘岳悼亡詩,0,20,0%,5.5
蝶戀花 王國維,0,20,0%,7.05
一念過差 足喪生平之善 終身檢飭 難蓋一事之愆。《菜根譚》,0,20,0%,7.25
陶淵明 形影神,0,20,0%,7.7
題袁氏別業,0,20,0%,8.9
碧城十二曲闌干,0,20,0%,9.1
曾鞏 墨池記,0,20,0%,9.45
長干行崔顥,0,20,0%,10.7
晏殊 清平樂,0,20,0%,10.8
鄒陽,0,20,0%,11.35
新安吏,0,20,0%,15.05
黃鶴樓 詩,0,20,0%,18.3
李白 俠客行,0,20,0%,21.9
國破山河在,0,20,0%,84.55
君今出言一何鄙,0,19,0%,4.26
新涼,0,19,0%,6
劍客賈島,0,19,0%,7.63
口技 林嗣環,0,19,0%,7.68
夜雪 白居易,0,19,0%,7.84
今日把示君 誰有不平事,0,19,0%,7.89
遣懷杜牧,0,19,0%,7.89
陸游長歌行,0,19,0%,7.95
翁宏,0,19,0%,8.32
周密 觀潮,0,19,0%,8.68
春風一夜到衡陽,0,19,0%,8.79
村晚 雷震,0,19,0%,9.16
臨江仙 詞牌,0,19,0%,9.21
天末,0,19,0%,9.42
杜牧江南春,0,19,0%,9.58
昔有佳人公孫氏,0,19,0%,9.63
題菊花,0,19,0%,9.68
田雯,0,19,0%,10
劉辰翁,0,19,0%,10.47
泊秦淮,0,19,0%,31.53
李白 將 進 酒,0,19,0%,31.58
杜工部蜀中離席,0,18,0%,4.28
天下方務於合從連橫,0,18,0%,5.56
胡地多飆風 樹木何修修,0,18,0%,5.61
管樂有才真不忝人物,0,18,0%,7.11
入彭蠡湖口,0,18,0%,7.28
夢遊天姥,0,18,0%,8.22
虞美人 詩,0,18,0%,8.33
世說新語 德行第一,0,18,0%,8.39
觀潮 周密,0,18,0%,8.67
齋中讀書,0,18,0%,8.78
杜甫絕句二首,0,18,0%,9.06
客至 詩,0,18,0%,9.44
李白 贈孟浩然,0,18,0%,9.56
率天下而路,0,18,0%,10.5
墨梅,0,18,0%,23
劉基,0,18,0%,26.11
祭鱷魚文,0,18,0%,40.28
賦得古原草送別,0,18,0%,52.67
馮諼客孟嘗君,0,18,0%,60.39
黃鶴樓送孟浩然之廣陵,0,18,0%,62.61
李白代表作,0,18,0%,72
送孟浩然之廣陵,0,18,0%,72.89
典論論文,0,18,0%,76.44
田叔,0,17,0%,7
未覺池塘春草夢 階前梧葉已秋聲。,0,17,0%,7.71
戰城南李白,0,17,0%,7.76
今日把示君，誰有不平事,0,17,0%,8.47
李白短歌行,0,17,0%,8.71
無由持一碗 寄與愛茶人,0,17,0%,8.94
雪梅 詩,0,17,0%,9.12
岐王宅裏尋常見,0,17,0%,9.29
竹枝詞其一,0,17,0%,9.29
錢塘湖春行 白居易,0,17,0%,9.29
王維 積雨輞川莊作,0,17,0%,9.41
今日長纓在手 何時縛住蒼龍,0,17,0%,9.53
畫王維,0,17,0%,10.06
世說新語 捷悟,0,17,0%,10.12
岐王宅裡尋常見,0,17,0%,11.76
送杜少府之任蜀州,0,17,0%,19.06
把酒問月,0,17,0%,19.82
臨江仙蘇軾,0,17,0%,26.18
李白將進酒,0,17,0%,28.29
後赤壁賦,0,17,0%,61.35
生於憂患死於安樂,0,17,0%,66.35
蘇軾 諸葛亮論,0,16,0%,5.81
蘇武廟,0,16,0%,6.06
試探春情,0,16,0%,6.62
杜甫 閣夜,0,16,0%,6.75
擲柳遷喬太有情,0,16,0%,7
懷沙賦,0,16,0%,7.88
六經者非他 吾心之常道也,0,16,0%,8.31
塞下曲六首,0,16,0%,8.94
騫翮思遠翥,0,16,0%,9.06
世說新語捷悟翻譯,0,16,0%,9.44
憫農詩其二,0,16,0%,9.5
深慮論,0,16,0%,9.56
人人親其親 長其長 而天下平,0,16,0%,9.75
其待我以橫逆 逆,0,16,0%,9.81
將進酒君莫停,0,16,0%,10.19
王維 觀獵,0,16,0%,10.75
憫農其二,0,16,0%,10.88
國殤 屈原,0,16,0%,11.06
塞下曲 李白,0,16,0%,14.12
藺相如完璧歸趙論,0,16,0%,14.62
李商隱 錦瑟,0,16,0%,17.19
春花秋月何時了往事知多少,0,16,0%,18.75
杜甫 登樓,0,16,0%,27.81
祭十二郎文,0,16,0%,28.94
論語 先進,0,16,0%,43
醉 翁 亭 記,0,16,0%,44.75
廬山煙雨浙江潮,0,16,0%,59.31
完璧歸趙,0,16,0%,84.56
蘭亭集序,0,16,0%,94.81
千家笑語漏遲遲,0,15,0%,5
劉方平月夜,0,15,0%,5.87
王安石 讀史,0,15,0%,6
杜耒,0,15,0%,6.87
漁家傲寄仲高,0,15,0%,7.13
打馬圖,0,15,0%,7.47
酬郭給事,0,15,0%,7.67
赤壁歌,0,15,0%,7.8
瞿佑,0,15,0%,8.07
大鵬一日同風起扶搖直上九萬里,0,15,0%,8.4
李煜 長相思,0,15,0%,8.53
憶秦娥·婁山關,0,15,0%,8.93
江上吟 李白,0,15,0%,9
曲池荷,0,15,0%,9.13
唐詩三百首黃鶴樓,0,15,0%,9.93
林嗣環,0,15,0%,9.93
歐陽修畫眉鳥,0,15,0%,10
食以草具,0,15,0%,10.2
孫子兵法 九變,0,15,0%,10.6
蘇武傳,0,15,0%,11
將進酒 李白,0,15,0%,25.87
陳人傑,0,15,0%,39.07
過零丁洋,0,15,0%,44.33
此時有子不如無,0,15,0%,51.53
春 望,0,15,0%,52.93
陶淵明,0,15,0%,85.2
江村詩,0,14,0%,5.5
寄韓諫議,0,14,0%,7.29
天涯 李商隱,0,14,0%,7.93
寒夜杜耒,0,14,0%,8.07
南鄉子詩,0,14,0%,8.21
菩提偈意思,0,14,0%,8.21
爭臣論語譯,0,14,0%,8.57
千古風流八詠樓 江山留與後人愁,0,14,0%,8.71
李白 短歌行,0,14,0%,8.79
狼三則其二,0,14,0%,8.79
懷沙賞析,0,14,0%,9.07
子夜歌 李煜,0,14,0%,9.21
蹇叔哭師意思,0,14,0%,9.5
陳涉世家原因,0,14,0%,9.57
送綦毋潛落第還鄉,0,14,0%,9.64
陳端生,0,14,0%,9.64
深慮論翻譯,0,14,0%,9.93
春夜喜雨 杜甫,0,14,0%,10.14
億江南,0,14,0%,10.36
駱賓王 在獄詠蟬,0,14,0%,10.71
卜算子李之儀,0,14,0%,10.86
歸園田居五首,0,14,0%,11.07
歐陽修 秋聲賦,0,14,0%,11.29
錦瑟 李商隱,0,14,0%,12.43
望嶽,0,14,0%,15.21
大鐵椎,0,14,0%,16.43
中庸第十八章,0,14,0%,17.14
春花秋月何時了往事知多少小樓昨夜又東風故國不堪回首月明中雕欄玉砌應猶在只是朱顏改問君能有幾多愁恰似一江春水向東流,0,14,0%,18.71
登樓 杜甫,0,14,0%,25.57
觀書有感,0,14,0%,28.14
定風波詩詞,0,14,0%,28.93
杜甫 春望,0,14,0%,36.93
無題 李商隱,0,14,0%,38.64
山居秋暝,0,14,0%,49.86
聲聲慢,0,14,0%,52.86
定風波蘇軾,0,14,0%,54.71
楓橋夜泊,0,14,0%,60.29
游子 吟,0,14,0%,79.07
浣溪沙·游蕲水清泉寺,0,13,0%,5.62
浣溪沙 遊蘄水清泉寺,0,13,0%,6.69
過廢園翻譯,0,13,0%,7.15
管子·牧民,0,13,0%,7.77
觀公孫大娘弟子舞劍器行,0,13,0%,7.92
王冕 墨梅,0,13,0%,8.77
核舟記,0,13,0%,8.92
日月不肯遲,0,13,0%,9.08
盛衰各有時 立身苦不早,0,13,0%,9.31
王維終南別業,0,13,0%,9.38
五津,0,13,0%,9.46
李白贈孟浩然,0,13,0%,9.54
畫眉鳥詩,0,13,0%,9.54
豫章行,0,13,0%,9.62
德行 第一,0,13,0%,9.77
遺悲懷是樂府詩嗎,0,13,0%,10.08
將進酒詩,0,13,0%,10.15
诗品序,0,13,0%,11.23
馬鈺,0,13,0%,11.69
世說新語德行,0,13,0%,12
貧女,0,13,0%,12.31
楊炎,0,13,0%,13
歐陽修 畫眉鳥,0,13,0%,16
吳克恭,0,13,0%,31.38
王維 畫,0,13,0%,32.62
獨坐敬亭山,0,13,0%,34.85
一剪梅 李清照,0,13,0%,37.62
藺相如完璧歸趙,0,13,0%,55.54
古詩十九首,0,13,0%,58.15
菩薩蠻,0,13,0%,67.92
憫農詩,0,13,0%,83.46
薄宦梗猶泛 故園蕪已平,0,12,0%,5.92
戒目食翻譯,0,12,0%,6.5
房兵曹胡馬詩,0,12,0%,6.5
連雨,0,12,0%,7.25
做冷欺花,0,12,0%,7.33
義公,0,12,0%,7.42
世說新語 假譎,0,12,0%,8
關漢卿 不伏老,0,12,0%,8.08
春日唐詩,0,12,0%,8.25
牧童 唐詩,0,12,0%,8.58
子聿,0,12,0%,8.83
張岱 西湖七月半,0,12,0%,9
辛幼安,0,12,0%,9.25
夜歸臨皋,0,12,0%,9.42
少年俠氣 交結五都雄。肝膽洞。毛發聳。立談中。死生同。一諾千金重,0,12,0%,9.42
采桑子·重阳,0,12,0%,9.42
雜詩其二,0,12,0%,9.42
李白客中行,0,12,0%,9.5
王國維人間詞話翻譯,0,12,0%,9.5
長干行 崔顥,0,12,0%,9.58
舊恨春江流不盡 新恨雲山千疊,0,12,0%,9.83
曾幾,0,12,0%,10.17
大林寺,0,12,0%,11
上樞密韓太尉書,0,12,0%,11.25
蘇軾臨江仙,0,12,0%,13.75
在獄詠蟬,0,12,0%,15.33
陶淵明歸園田居,0,12,0%,15.5
朋黨論,0,12,0%,40.42
別雲間,0,12,0%,45.5
崔顥,0,12,0%,54.75
錦瑟,0,12,0%,58.17
平準書,0,11,0%,4
詠懷古跡其三,0,11,0%,5.27
襄阳歌,0,11,0%,5.45
辛棄疾 滿江紅,0,11,0%,5.82
管樂有才終不忝,0,11,0%,6.73
王安石 同學一首別子固,0,11,0%,7
管子牧民,0,11,0%,7.64
不治生產 其後必致累人 專務交遊 其後必致累己,0,11,0%,8
致酒行,0,11,0%,8
長相思 李煜,0,11,0%,8.45
桃花庵歌 唐寅,0,11,0%,8.55
朱熹春日,0,11,0%,8.64
苦昼短,0,11,0%,8.73
江南逢李龜年語譯,0,11,0%,9.09
臨江仙詞牌,0,11,0%,9.27
李煜 玉樓春,0,11,0%,9.64
父母之不我愛,0,11,0%,9.82
夜雪,0,11,0%,10
李子正,0,11,0%,10.18
劉處玄,0,11,0%,10.73
廬山煙雨浙江潮翻譯,0,11,0%,11.27
虞美人詩,0,11,0%,12.64
玉階怨,0,11,0%,14
青玉碗元夕,0,11,0%,15.82
唐雎,0,11,0%,23.36
物莫之傷,0,11,0%,23.73
王仲文,0,11,0%,24.36
嫦娥李商隱,0,11,0%,28.73
雪梅,0,11,0%,30.45
韓愈 鱷魚,0,11,0%,34.09
羅貫中,0,11,0%,60.64
臨江仙,0,11,0%,66.36
送別 李叔同,0,11,0%,68.91
五代十國,0,11,0%,71.18
始 得 西山 宴 遊記,0,11,0%,84
就中難別是,0,10,0%,2.1
游沙湖,0,10,0%,4.5
始作鎮軍參軍經曲阿,0,10,0%,6.3
周邦彥 玉樓春,0,10,0%,6.7
孫光憲,0,10,0%,7.2
憶江南 白居易,0,10,0%,7.9
蘇東坡觀潮,0,10,0%,8
永懷古蹟,0,10,0%,8.4
王維 青溪,0,10,0%,8.4
移居二首,0,10,0%,8.4
上李邕 李白,0,10,0%,8.9
秋聲賦 歐陽修,0,10,0%,9
漢文有道恩猶薄 湘水無情弔豈知,0,10,0%,9.1
客致,0,10,0%,9.3
吳潛,0,10,0%,9.4
訪戴天山道士不遇,0,10,0%,9.4
輞川別業,0,10,0%,9.4
陳維崧,0,10,0%,9.5
昔西伯拘羑里,0,10,0%,9.6
楚辭 涉江,0,10,0%,9.6
衝煙飛鳴,0,10,0%,9.7
曹植 美女篇,0,10,0%,9.9
縱橫計不就 慷慨志猶存 就,0,10,0%,9.9
將進酒 杯莫停 但願長醉不願醒,0,10,0%,10.1
水檻,0,10,0%,10.1
論語述而篇,0,10,0%,10.1
江南逢李龟年,0,10,0%,11.3
